"Date","Price","Open","High","Low","Vol.","Change %"
"06-09-2024","501.70","512.00","512.00","497.15","13.72M","-1.86%"
"05-09-2024","511.20","508.35","511.90","507.05","10.90M","0.96%"
"04-09-2024","506.35","500.00","510.05","499.95","8.41M","-0.60%"
"03-09-2024","509.40","510.05","515.95","507.90","12.02M","-0.13%"
"02-09-2024","510.05","504.00","512.90","503.30","15.89M","1.62%"
"30-08-2024","501.90","501.95","509.15","500.20","14.95M","-0.63%"
"29-08-2024","505.10","498.00","507.70","497.35","18.67M","1.57%"
"28-08-2024","497.30","500.40","502.30","496.50","7.78M","-0.66%"
"27-08-2024","500.60","507.55","507.60","500.00","7.95M","-1.01%"
"26-08-2024","505.70","506.00","508.00","502.00","7.83M","-0.02%"
"23-08-2024","505.80","505.05","506.95","499.95","7.89M","0.25%"
"22-08-2024","504.55","507.85","508.50","501.45","8.36M","-0.17%"
"21-08-2024","505.40","500.00","509.00","499.05","8.47M","1.32%"
"20-08-2024","498.80","501.00","503.40","497.70","6.63M","-0.53%"
"19-08-2024","501.45","504.75","509.30","499.60","10.20M","-0.24%"
"16-08-2024","502.65","494.50","504.20","492.65","13.14M","2.12%"
"14-08-2024","492.20","491.95","499.00","489.90","9.25M","0.45%"
"13-08-2024","490.00","495.95","497.85","488.25","7.76M","-0.93%"
"12-08-2024","494.60","492.00","500.00","492.00","9.08M","-0.26%"
"09-08-2024","495.90","498.00","498.00","493.10","9.20M","0.23%"
"08-08-2024","494.75","494.00","498.00","492.50","20.56M","0.43%"
"07-08-2024","492.65","490.00","495.60","488.10","10.90M","1.31%"
"06-08-2024","486.30","486.25","491.70","484.05","13.72M","0.06%"
"05-08-2024","486.00","480.05","491.90","479.55","24.09M","-0.63%"
"02-08-2024","489.10","484.80","499.45","484.80","21.32M","-0.93%"
"01-08-2024","493.70","495.95","496.75","490.95","11.67M","-0.33%"
"31-07-2024","495.35","492.45","497.95","490.50","11.54M","1.11%"
"30-07-2024","489.90","496.30","497.80","488.65","13.38M","-1.24%"
"29-07-2024","496.05","505.50","506.20","494.05","12.50M","-1.22%"
"26-07-2024","502.20","494.05","506.40","487.40","20.74M","2.50%"
"25-07-2024","489.95","490.00","496.00","484.65","17.88M","-0.83%"
"24-07-2024","494.05","496.00","510.65","490.65","42.07M","0.38%"
"23-07-2024","492.20","466.55","497.40","466.40","54.04M","5.50%"
"22-07-2024","466.55","474.60","479.45","465.85","18.07M","-1.69%"
"19-07-2024","474.55","471.00","479.40","469.40","24.98M","0.91%"
"18-07-2024","470.25","463.00","470.90","462.65","21.09M","1.01%"
"16-07-2024","465.55","463.45","466.75","461.40","13.00M","0.46%"
"15-07-2024","463.40","459.05","466.45","457.20","16.25M","0.95%"
"12-07-2024","459.05","458.65","463.25","455.85","18.96M","0.09%"
"11-07-2024","458.65","450.00","459.50","448.70","18.83M","1.59%"
"10-07-2024","451.45","453.70","455.35","446.50","11.62M","-0.25%"
"09-07-2024","452.60","447.60","455.00","444.00","26.47M","2.03%"
"08-07-2024","443.60","435.15","444.55","433.65","20.52M","2.29%"
"05-07-2024","433.65","429.00","434.00","427.60","12.93M","1.07%"
"04-07-2024","429.05","430.00","431.50","427.05","9.13M","0.18%"
"03-07-2024","428.30","426.10","429.65","425.50","7.16M","0.66%"
"02-07-2024","425.50","430.00","430.65","422.55","10.76M","-0.83%"
"01-07-2024","429.05","426.30","430.25","424.65","12.89M","0.98%"
"28-06-2024","424.90","425.50","428.00","423.50","17.87M","-0.16%"
"27-06-2024","425.60","423.95","427.25","421.10","37.01M","0.39%"
"26-06-2024","423.95","423.00","426.40","422.05","11.08M","0.15%"
"25-06-2024","423.30","423.00","424.00","419.75","10.26M","0.00%"
"24-06-2024","423.30","420.00","423.95","420.00","9.36M","0.88%"
"21-06-2024","419.60","425.00","425.30","418.55","25.21M","-0.87%"
"20-06-2024","423.30","424.05","426.50","421.50","14.59M","-0.08%"
"19-06-2024","423.65","430.00","430.75","423.05","10.91M","-1.19%"
"18-06-2024","428.75","433.00","434.20","428.20","14.10M","-0.56%"
"14-06-2024","431.15","431.00","431.90","429.05","9.22M","0.20%"
"13-06-2024","430.30","436.90","436.90","429.75","9.28M","-0.46%"
"12-06-2024","432.30","430.55","434.40","430.20","10.35M","-0.16%"
"11-06-2024","433.00","437.00","437.80","432.25","12.67M","-0.89%"
"10-06-2024","436.90","440.00","441.00","435.85","11.43M","-0.51%"
"07-06-2024","439.15","431.40","441.65","431.10","28.45M","0.86%"
"06-06-2024","435.40","436.00","437.70","431.10","31.12M","1.19%"
"05-06-2024","430.30","422.00","436.00","418.05","27.15M","3.64%"
"04-06-2024","415.20","426.00","426.30","402.85","46.02M","-3.52%"
"03-06-2024","430.35","434.00","434.90","428.65","15.52M","0.91%"
"31-05-2024","426.45","426.75","429.55","424.25","28.21M","0.61%"
"30-05-2024","423.85","428.50","430.95","422.35","20.52M","-1.65%"
"29-05-2024","430.95","425.50","432.40","425.50","10.43M","0.45%"
"28-05-2024","429.00","432.10","432.50","428.25","9.31M","-0.58%"
"27-05-2024","431.50","438.80","438.90","430.70","11.83M","-1.08%"
"24-05-2024","436.20","441.00","442.45","435.30","12.76M","-1.17%"
"23-05-2024","441.35","441.40","444.90","436.55","26.23M","0.33%"
"22-05-2024","439.90","437.35","441.95","435.40","10.63M","1.17%"
